database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	YK.RM.1	YK.RM.2	YK.RM.3	YK.RM.4	YK.RM.5	YK.RM.6	YK.RM.7	YK.RM.15	YK.RM.16	YK.RM.17	YK.RM.18	YK.RM.19	YK.RM.20	YK.RM.21	QC1	QC2	QC3	QC4	QC5
				Unknown	262.047969				243.7785			BiotreeDB									1017529.651	416673.3625	1109032.833	1033603.015	1076910.036	1025730.042	124095.1945	1082931.365	320885.4843	915415.3097	662183.6127	124834.723	621922.0131	504404.2466	769007.2036	689216.6656	666837.4102	667246.5295	567882.9343
				Unknown	235.1805057				243.767			BiotreeDB									307416.0115	338204.4875	242883.5292	249567.97	467651.5386	437828.6234	157170.0947	27729.23248	11587.85708	53116.35263	74592.22525	0	11241.5538	46157.6397	184821.6675	142098.0809	155880.8428	223298.3708	156721.5306
				Unknown	303.0652081				243.676			BiotreeDB									2008910.291	1914167.837	1847444.357	1974822.787	1749852.157	1905567.931	2006746.624	2414042.945	2030582.167	1004563.95	2101837.703	1803597.213	1635075.957	787166.4872	2049291.028	958395.1329	2230071.289	926275.1359	1690226.872
				Unknown	247.0774552				243.6745			BiotreeDB									210860.8083	117737.4601	180175.5215	112704.3677	287954.6029	128720.5161	0	70090.50627	30446.9448	0	111225.0606	0	95184.87845	83141.39777	181072.1386	167758.3959	161410.0569	113873.5247	247777.6048
				Unknown	286.1651176				243.6485			BiotreeDB									14223048.64	6866003.184	15363065.9	14126937.48	14084850.24	14411616.39	2048958.459	13026793.73	5128757.435	11755139.11	10119284.07	1639009.591	9088399.025	8438218.209	11696366.07	9703402.208	8708683.747	9097618.012	8657895.598
				Unknown	245.0920534				243.645			BiotreeDB									1099606.711	1255896.943	1436466.028	484348.316	306434.999	900875.8975	27723.66246	154263.0506	124701.5416	74692.72148	135951.2177	46871.29381	157075.3161	187271.1775	822576.4995	855022.0927	744104.1008	801517.2151	846894.6433
				Unknown	287.233484				243.5655			BiotreeDB									1287186.312	901894.9132	761458.4498	851423.6115	1522229.845	1038922.363	235136.2823	987546.1618	799592.2278	689919.645	1262757.832	148770.6185	1152537.353	1153237.499	1621422.539	1318010.047	1145315.149	1099504.899	1252709.016
				Unknown	313.2571158				243.02			BiotreeDB									39568.50601	0	0	0	14116.58654	0	0	93220.26142	97168.01069	22624.69369	120084.058	10419.07411	68793.21442	113575.7826	164830.226	48436.88303	27711.57171	11781.54413	63339.01174
				Unknown	361.1761318				242.989			BiotreeDB									1129774.371	609367.1902	712651.7654	319853.6861	1226678.944	781402.9073	163941.5831	702063.1336	382019.8937	405511.736	1028545.559	47561.40877	901237.0082	850377.3289	1419880.231	1070292.137	1755747.461	873700.7248	1079004.368
				Unknown	183.1606989				242.9655			BiotreeDB									1001132.714	853551.6838	683917.674	867895.7988	1121288.273	957393.3744	171748.5501	731326.9684	526182.8342	628760.766	914763.7122	104473.8406	759546.5288	990355.6389	1657897.162	1157198.403	1062189.761	1113752.272	1110960.062
				Unknown	158.0274474				242.3915			BiotreeDB									65982.86139	32791.47174	68343.71112	49131.31946	157854.4086	123431.8669	0	27946.77848	25497.90742	10538.94611	74940.53932	0	70891.97528	119279.4572	128400.7228	177936.6508	176857.4387	147647.658	178874.2522
				Unknown	219.1131875				242.199			BiotreeDB									610809.4688	302438.3424	609872.2987	454180.393	1502822.532	695652.042	651042.2955	189761.0077	170925.1064	258249.8799	305580.1576	162347.4393	204046.7783	259355.3661	436138.4564	474377.2259	401349.7661	433132.8694	312580.7114
				Unknown	91.05481828				241.945			BiotreeDB									452583.9298	273226.4727	367479.9515	226244.3362	438944.9574	412893.411	21473.88994	218777.4906	134752.6929	150780.0602	343331.0363	0	272255.9386	267046.5139	606744.8366	453787.9058	318662.477	412030.8856	425164.2212
				Unknown	119.0528504				241.913			BiotreeDB									1552512.644	1321068.384	1362965.137	1696054.646	1516074.87	651899.912	1285124.89	1537497.626	1390251.255	1155273.424	1957053.314	1154297.09	1330316.137	1639822.479	2055390.927	1894715.412	1390020.892	1688502.496	1790435.919
				Unknown	93.07045085				241.846			BiotreeDB									10183387.7	8514730.389	10173150.33	7189267.443	5674452.758	6588947.6	8369002.831	8066246.595	7058627.867	9144765.19	6679307.152	13369275.14	7334553.604	10379787.75	8053369.186	7086432.644	6394485.638	25034565.77	7154366.902
				Unknown	291.1377279				241.115			BiotreeDB									258813.3259	199296.6884	211949.6333	185297.0436	354074.0109	245111.4939	100633.9723	406368.902	420067.6274	313802.1774	313023.7029	68751.26077	399467.8813	298248.9832	611699.6348	220942.8797	251048.0442	219633.4318	249566.5964
				Unknown	118.0654802				241.099			BiotreeDB									214371.7966	154113.7229	144138.354	190747.3553	306152.5966	171118.0047	26346.60135	189201.153	181246.7627	125223.133	310235.1593	50313.3325	235229.9025	299585.2925	221714.6945	150170.8248	330521.4386	293801.0426	202229.1125
				Unknown	346.2593368				241.096			BiotreeDB									3331075.222	3433920.94	3796857.487	2827789.82	4325426.815	3166253.73	4753101.086	4149979.712	4400950.522	2939236.558	4165812.858	5270328.638	3232753.584	5037611.563	3147912.752	8933761.993	3364948.968	3440282.233	3943646.802
				Unknown	306.2066914				240.95			BiotreeDB									2136740.96	1916293.638	1278128.804	1541818.135	2453146.214	1675607.031	641183.6989	2721157.496	2335598.391	1998297.188	1957434.647	599627.7101	2824349.13	1985579.542	2254305.449	1740285.75	1683813.6	1634423.772	1637697.551
				Unknown	306.0761589				240.7575			BiotreeDB									104243.9906	134382.5745	170034.8035	112260.538	119859.1809	86203.79232	57780.42278	216804.6172	133820.1397	75287.00001	126969.4703	0	187563.5631	117486.6735	175396.7643	105293.5844	71429.57959	99160.44495	107642.7019
				Unknown	351.2141921				240.3465			BiotreeDB									101631.9807	121552.2624	76880.45099	180926.0147	183856.7275	164822.7983	29587.83609	729651.8249	509152.4117	817081.942	420854.6219	128430.4565	228262.3497	356359.0687	350716.0894	188878.7151	217176.7341	252999.4492	246700.8299
				Unknown	271.1543276				240.345			BiotreeDB									676122.8434	379831.5588	657134.7523	314464.3679	1106304.761	333704.3742	413065.6954	216592.3246	271027.3998	220008.3845	412687.6915	0	282458.5109	545195.6253	710828.8396	745330.5577	647972.4572	655150.1977	692226.8401
				Unknown	267.065573				240.1695			BiotreeDB									42452.43801	23532.75806	32948.60656	11644.41693	38566.99126	32197.23613	8403.349431	135595.2583	28962.03071	132501.8803	211017.7449	0	104481.4295	148830.5561	102963.197	96913.23142	42961.15754	93518.22565	123530.4693
				Unknown	218.1010525				240.094			BiotreeDB									118190.9821	106345.3841	86547.93561	117929.6333	128474.365	202142.1949	18974.15468	49718.75959	60708.85587	49231.12039	33984.49807	0	58039.7519	44766.68187	81718.14724	93048.72499	93430.05066	101902.0589	74381.25797
				Unknown	311.1469445				240.007			BiotreeDB									229858.7257	208987.9374	158368.3651	172466.328	264743.843	176255.9523	76301.13269	290782.5484	263211.1525	175064.6832	200691.2743	31847.87258	291206.4399	217414.9691	289214.6613	214824.0263	184294.2859	169455.4059	211634.9106
				Unknown	217.0973022				239.9975			BiotreeDB									211600.4719	120964.7526	207033.69	188788.9984	191517.9032	204532.552	58717.18555	0	0	0	0	0	0	0	317389.0798	215398.1367	216023.3997	196434.0594	241487.1566
				Unknown	216.1233773				239.6555			BiotreeDB									689670.4825	1114306.104	7466041.412	96905.93789	864311.9243	2094555.312	786060.5029	124834.6039	180765.9002	0	84968.35226	0	309573.1294	59558.73597	2548626.208	2716156.746	2396304.814	2467891.102	2052347.814
				Unknown	198.1131205				239.434			BiotreeDB									5466318.962	3869373.426	6545974.915	10309764.61	9474566.162	6364789.838	821825.9194	0	0	0	0	0	0	0	3803523.517	4068796.7	3607486.49	3742685.214	3979035.932
				Unknown	283.1906029				239.315			BiotreeDB									58454.33726	33666.33722	90120.78517	91064.45373	64277.9765	143158.0467	0	0	0	0	0	0	0	0	44709.89001	50535.91835	77351.15795	43361.465	51354.59539
				Unknown	301.2013117				239.216			BiotreeDB									297818.8043	321468.0825	445854.1787	243946.2274	419179.845	449852.8248	159165.9297	214147.6275	96018.27699	76904.46156	110075.5359	9224.302596	126024.9484	70796.76889	328329.5334	225014.4883	292638.4649	148385.2723	231933.2596
				Unknown	298.2744193				239.117			BiotreeDB									58068.42618	122311.869	220976.9729	29464.56324	143519.042	229808.3076	19293.70451	222261.1191	61866.39302	177140.5784	54716.34318	0	152538.9295	145214.0124	86322.30754	120114.7725	170524.7577	104256.1106	91604.57812
				Unknown	152.1071058				239.091			BiotreeDB									33148.75778	0	0	10687.60984	16056.87011	16760.45706	0	74101.82134	48968.23023	60301.57093	140237.8853	0	81692.16636	122361.731	89193.61871	68090.26429	73704.77837	77904.25011	62896.47057
				Unknown	150.0664692				238.4625			BiotreeDB									1061881.541	124438.5168	530435.2577	442060.67	847019.6905	677215.0806	504262.6417	436049.9402	424684.8121	404536.0312	980424.8451	1789513.999	425265.9415	649408.988	980552.5399	778477.6557	774257.7718	647902.0572	557721.4903
				Unknown	331.060327				238.188			BiotreeDB									432415.7087	281910.1923	284380.1826	346688.2414	545935.7315	490503.7203	164991.398	168932.7358	203578.8327	87751.06006	351948.4525	191150.6223	272440.3059	275048.9203	438939.3832	419130.1914	405513.6191	379754.2744	390554.1222
				Unknown	284.1431599				238.036			BiotreeDB									1368314.796	1334938.261	1286682.76	1406572.442	1315747.148	1363983.668	1572013.043	3466366.773	214949.6714	1556389.47	718441.7156	1324295.984	1364783.463	1765633.094	1848381.739	1878682.142	1742762.635	1777270.871	1732134.582
				Unknown	293.2116921				237.5935			BiotreeDB									194741.9299	44350.07585	252806.842	181989.317	188424.1087	177812.2749	32198.80131	295655.2932	391223.5759	207758.5687	305935.9083	0	392269.906	387753.3085	330042.7784	211750.3323	253948.3435	212539.4849	292913.3554
				Unknown	253.0863661				237.471			BiotreeDB									106549.7466	74101.79879	152947.7639	189127.7379	83085.26787	169133.6213	226089.9536	103811.5846	137507.8654	252899.7276	469511.7693	138533.6434	195931.8624	246547.0892	636766.2983	369049.5672	218907.9085	382219.7294	223282.9405
				Unknown	235.0757038				237.4115			BiotreeDB									2240505.543	2610091.519	4515210.919	3099575.942	2065847.961	2482816.488	4111553.48	2731020.207	2497296.115	3526717.485	2242805.621	2698863.523	2662794.675	2727342.975	2778712.088	2757292.831	2385656.805	2280389.855	3252771.913
				Unknown	242.1752635				237.4115			BiotreeDB									311592.353	98761.133	167666.3389	125346.1333	96898.1478	218037.0214	56656.48036	144867.9255	118876.0206	107204.2575	209696.8204	49375.64044	153448.4001	67836.0937	184964.1411	204345.1503	200612.7178	104541.1203	191969.9814
				Unknown	767.4926641				237.409			BiotreeDB									359422.9933	193660.2404	153816.9057	285094.9193	492563.4067	236107.369	125401.4295	241537.5744	196008.7613	146126.0812	445642.3767	102719.6869	513221.4495	287926.7496	544045.6809	354826.8197	462782.6439	387023.9422	395457.3584
				Unknown	178.0901894				237.381			BiotreeDB									1065311.764	604454.1777	543518.0897	586711.0819	1137831.11	597539.614	404437.3766	820375.07	645948.9789	676827.5268	1092033.716	426473.3218	959836.1569	580758.341	711287.3103	928510.6963	827014.1926	702627.6902	664294.2836
				Unknown	370.0490749				237.376			BiotreeDB									509115.4468	400522.6715	394321.7024	417925.2308	426744.661	486165.1764	212004.256	672494.2393	684497.1815	380114.8228	526706.3407	399889.9505	816097.6729	602937.6814	312632.4557	656518.0766	604037.6985	296007.2941	493873.8105
				Unknown	294.0626575				237.258			BiotreeDB									305343.7021	171140.664	151144.7279	259445.8642	317568.0268	182798.5271	77844.85075	227041.5005	141944.4345	145207.6973	172276.7406	40076.49584	316133.3289	192290.4507	241053.2353	207670.1303	182635.4166	199871.8014	182943.3022
				Unknown	278.1499785				237.2505			BiotreeDB									263898.6443	150681.4077	207495.6941	73976.48002	237144.0736	211818.6004	39856.98236	255526.9956	166381.3438	259342.3058	312583.1349	111248.45	177725.0401	285341.6674	357117.9409	234908.588	225627.3886	258350.6196	164004.0169
				Unknown	308.2221396				237.215			BiotreeDB									184997.9405	280102.1794	283308.1509	79738.87439	246496.4108	421063.1522	318295.6037	63468.97627	55920.70919	62735.35308	135265.9481	58592.10562	53834.35605	109467.2522	279676.5259	318918.5728	336482.7342	317287.8829	282152.2879
				Unknown	186.1128802				237.1915			BiotreeDB									5951547.131	1939122.104	2084893.674	2089877.656	549823.8403	348443.2049	624589.1948	871832.968	1900404.134	558670.2027	698982.7706	538914.3946	718635.2316	5912784.07	2106576.772	1955164.288	1827215.932	1778979.287	1876784.608
				Unknown	114.1109583				236.577			BiotreeDB									140689.4433	129340.2567	193560.5052	107281.2612	166295.7208	224600.345	56524.34474	31085.05289	10716.20631	9361.772931	0	0	41809.62792	19615.24733	28856.03137	107102.3383	127858.2624	83029.39479	88418.38307
				Unknown	211.1081315				236.5365			BiotreeDB									1378290.924	957913.6448	1042113.679	1716872.087	2178408.639	1231070.653	550296.8486	1457544.086	599187.374	578851.5746	818789.8415	262956.2268	1419518.499	711829.4797	1123771.008	1754234.485	1507151.961	1518496.725	1456386.824
				Unknown	609.3979554				236.5365			BiotreeDB									194240.6034	17867.76421	28368.25447	124682.3426	0	0	0	28377.42568	241856.337	0	324057.1523	170194.9439	72559.47835	195598.6187	214315.2126	154595.6922	83001.89897	163943.6745	129213.9801
				Unknown	367.1617531				236.467			BiotreeDB									885845.7501	281758.4639	317060.1521	233945.4247	624551.1982	283629.7626	122528.9697	164628.3573	150874.9185	151566.8808	185649.5113	134540.6279	176395.7117	166752.2986	462434.9938	315744.9883	225771.0891	274274.1713	202447.2277
				Unknown	127.1232352				236.3845			BiotreeDB									1359319.052	1095155.626	1300898.587	1135223.547	1238250.699	945520.2851	702181.1497	6749357.366	20151462.74	863327.8191	2039250.932	2152667.987	802730.2768	564393.392	1542346.467	1320856.745	961752.1305	1280943.118	1203580.238
				Unknown	107.0495897				236.173			BiotreeDB									0	0	14522.494	18466.41476	17948.24617	0	0	145561.0135	99737.42809	71538.52718	228994.4833	0	122589.9236	104348.7713	30052.39948	52591.64534	60668.2012	59636.7421	42380.58858
				Unknown	160.1085273				235.595			BiotreeDB									8972557.821	1296118.231	8784712.456	1752504.912	3934632.623	2565112.565	6324960.685	986366.4861	1481626.019	1330434.062	2610827.956	11827350.69	411358.2715	5801686.122	4966705.815	5134470.767	4946130.487	4231994.477	3686339.047
				Unknown	485.9919814				235.595			BiotreeDB									1586600.365	1489632.447	664213.0544	801237.6357	776174.9831	832692.542	616859.7196	952601.1907	511169.431	1542722.692	1859326.13	982730.0581	850112.5947	1079839.243	2233037.122	2433721.789	1875659.274	1875696.288	1920641.968
				Unknown	252.0658205				235.593			BiotreeDB									266526.0599	126230.4077	149480.3336	203627.2871	278560.444	223443.7606	0	177184.7047	119836.7472	103559.254	377965.8389	0	315933.8573	261688.8166	298432.2747	252810.2549	274936.5293	297928.9096	310867.4452
				Unknown	327.0176817				235.593			BiotreeDB									20020450.54	8537696.32	6027869.443	8840267.985	2862766.109	4981351.722	9253664.72	6779316.694	21031207.26	6821944.055	7460353.152	12170026.6	20651839.01	7074334.469	10588330.08	8363730.53	14937143.82	7285929.14	7424511.373
				Unknown	329.2325182				235.593			BiotreeDB									180703.3877	413272.5756	219612.2821	707065.1207	427273.8781	428595.9889	138213.2411	129704.3866	161928.4065	118016.9264	166832.7992	27838.08006	211302.5166	110349.1787	151347.9225	293720.568	245021.6539	256669.6561	296708.1944
				Unknown	371.0073891				235.593			BiotreeDB									347552.6989	414800.3095	340105.5813	480382.9855	1075293.036	243293.0516	466784.3353	402493.2332	423544.2544	434035.9571	674925.8633	339281.7666	345634.4299	702015.8917	706063.2232	581450.3559	709007.5662	540047.8945	474477.3797
				Unknown	443.9805942				235.593			BiotreeDB									702347.7513	316774.0576	1329964.599	953741.7828	1315088.027	1261619.772	898748.9495	1131288.887	1016134.515	842868.1946	1317980.119	425511.711	1212737.591	1088528.879	1532798.5	1442466.835	1344613.17	575273.4146	433383.3643
				Unknown	176.1285356				235.566			BiotreeDB									62007.56189	97951.89679	132000.0114	101295.4786	80383.59171	134579.6182	29188.95389	265209.1126	191102.5022	147679.7353	243508.5737	98849.14785	249995.2698	176806.4879	264092.215	163311.6389	167334.4705	148553.8419	128114.7365
				Unknown	120.1022867				235.497			BiotreeDB									7923130.91	0	0	0	0	0	0	0	0	0	0	0	9073.793733	0	542389.2836	322462.1359	281772.7525	279996.1788	247176.6575
				Unknown	399.0389148				235.474			BiotreeDB									9289605.365	141877.316	129155.8862	122857.9664	167094.5505	134156.0589	0	106296.0857	57435.21595	24278.87787	95125.04044	0	108893.669	145048.9762	546910.0271	428714.4186	372950.3193	383574.9735	328347.6053
				Unknown	328.0022586				235.426			BiotreeDB									0	222077.6179	121299.4952	124090.306	60420.6084	161832.177	78888.48227	112806.9836	160606.0179	106966.5366	95683.88508	146431.1881	139957.9639	154485.0172	166177.9769	137716.8188	136898.3034	87999.0362	116251.3351
				Unknown	348.2466947				234.722			BiotreeDB									9909289.454	6304022.406	9635445.907	8282372.935	11825304.85	3373342.139	3128344.615	2473467.198	3248707.713	9069085.883	4899230.19	1414718.049	4045434.626	6820773.114	9371251.627	9214928.749	8889736.898	8686284.273	8809270.754
				Unknown	104.1075394				234.689			BiotreeDB									220849.3501	160985.5082	165113.0349	151799.9562	205265.8048	269583.8422	0	187090.4898	146098.0859	121526.6439	219917.6573	0	233046.264	226059.3055	236649.7035	246851.5757	242265.6511	245578.2128	240822.3488
				Unknown	130.0865519				234.64			BiotreeDB									99547.81174	71577.03154	155446.1914	47064.77714	103172.1963	91457.82549	37975.28382	29815.97151	30669.50942	0	14313.34916	0	43841.75948	102672.6253	126984.7902	107047.271	83203.20027	98740.17979	23788.34542
				Unknown	347.243514				234.632			BiotreeDB									825467.895	192586.9379	639063.6221	227410.3715	690950.0633	537214.7668	296568.591	203624.8645	164170.5679	100867.3204	136759.2797	548968.7456	217460.8408	386368.908	533072.8945	639395.2011	585315.3787	608388.4989	533344.9694
				Unknown	141.1137808				233.8815			BiotreeDB									611475.4243	471146.9761	292828.2453	338373.8977	352242.4619	272616.752	414487.5711	378924.8293	384528.3335	384120.4446	373582.9053	460465.9211	425880.8566	86334.38026	321707.7854	342640.4753	431451.291	529500.0809	302744.4264
				Unknown	194.0815299				233.782			BiotreeDB									300141.5991	0	2582878.118	343477.9816	102873.8132	605990.4016	0	104739.537	292638.1059	0	45337.95263	0	0	2511912.351	914136.4026	808755.33	852420.9144	1051081.708	997486.1055
				Unknown	197.0923284				233.7445			BiotreeDB									303119.2454	324418.5808	227387.3409	371157.8042	436707.1846	352881.1155	201189.9822	227116.631	214798.6586	169565.1632	358776.5336	379596.11	140724.7127	661521.5343	687283.1821	420136.3064	389799.4071	415773.7266	358522.7652
				Unknown	157.1336968				233.6475			BiotreeDB									1925824.638	1109452.002	1784666.704	1545799.478	2564510.115	567423.4655	608235.7873	333637.0435	734453.0035	313910.3922	885406.1021	118452.7387	417278.3629	1481089.984	1906432.064	1598775.397	1573716.197	1539792.461	1674525.847
				Unknown	320.1716964				233.573			BiotreeDB									117595.0726	248561.0327	398215.9494	75559.01139	384000.78	275808.7456	54699.87012	129983.4985	96214.27428	107775.703	134707.9087	0	156692.7745	101707.0436	369807.2996	259024.7652	252696.3278	206860.81	238193.0545
				Unknown	297.206713				233.342			BiotreeDB									0	0	156351.6297	0	13783.3564	0	0	29453.74672	0	0	13389.03497	0	11621.4581	0	146204.6466	124359.1264	87837.70245	108058.0846	123748.4343
				Unknown	390.2850535				233.0055			BiotreeDB									5834029.476	4268898.997	4284399.482	4393863.971	5029944.878	5834917.482	1862694.439	3029912.112	1756990.348	2149410.135	2542158.595	625452.2116	2749104.057	2318368.935	4233897.822	3713694.797	3399901.176	3402245.588	3301628.91
				Unknown	192.0658233				232.916			BiotreeDB									272954.2359	411757.9669	270082.082	555711.9458	821050.7779	225451.2242	251675.9794	305203.0218	288663.1901	540761.1322	360810.4238	87989.40245	421116.1612	467069.2487	660192.4311	237973.8671	165688.3897	665631.9767	599573.5182
				Unknown	279.1956666				232.888			BiotreeDB									139885.1131	181427.8055	401290.8561	124729.5808	177148.3866	129613.3026	161760.1116	167495.4239	129761.6202	313676.5733	171405.0316	63038.48377	292459.2391	503954.8409	159586.3273	376167.5107	294824.3573	402969.4757	362659.5116
				Unknown	312.0653519				232.879			BiotreeDB									349573.079	227428.5586	436024.9922	264935.9364	411246.1009	77046.82311	40486.93244	14376.31694	96074.31075	14741.97062	143787.1181	0	40875.1437	217402.3236	382475.5904	320176.1979	325626.4682	246345.8601	252643.7267
				Unknown	337.198928				232.8625			BiotreeDB									4111714.749	3408109.02	4995643.101	7596250.479	5351917.059	4202222.329	1772502.551	1742677.708	1740981.198	1534911.326	1388469.986	1889828.019	1606117.692	1714094.345	3264286.655	3004011.409	2619627.948	2563048.797	2489210.037
				Unknown	394.1908263				232.837			BiotreeDB									158184.9682	251555.0862	347613.8419	0	1364969.755	261687.7385	0	226214.8845	712374.1953	842375.2905	1505287.175	1677190.818	712679.5776	1258273.332	938815.8725	737391.1089	733642.3748	726458.816	720362.7244
				Unknown	210.076267				232.7875			BiotreeDB									753223.4109	1414993.129	4451756.771	0	585139.1143	0	1603286.644	77827.54768	913268.8014	386011.9966	847162.8767	0	2180873.249	150171.3461	2299829.888	1959886.768	1686948.556	1754980.063	1733355.471
				Unknown	280.1181223				232.72			BiotreeDB									134951.7993	155662.933	47963.24607	127500.8175	195445.8501	143669.7983	0	290936.0383	122034.2619	101132.7896	167477.7488	0	154600.1824	230568.6677	329633.1655	145734.4292	155506.0721	155249.0253	133150.4874
				Unknown	302.1000056				232.678			BiotreeDB									603895.3923	562321.7211	725751.4263	524008.4785	797315.9251	674956.0814	265819.0813	1240882.636	561927.1492	1240963.428	1093325.959	268973.9376	1005723.795	1307411.442	909517.8597	792958.1512	778758.7881	717069.1824	640603.8006
				Unknown	212.0922204				232.625			BiotreeDB									105094.6421	119501.8006	55814.26424	126729.4389	164167.4598	58937.4241	0	21865.80156	0	30054.23354	63216.19403	0	26436.6052	19594.92773	77105.92865	35113.36503	76713.07057	73361.44018	103335.886
				Unknown	313.0697591				232.4605			BiotreeDB									849189.1151	699431.0481	421650.3995	736443.8815	949305.5777	529903.9948	57336.3982	335467.0387	252065.1764	385602.9619	546028.595	0	324980.775	397085.7966	936640.5357	575872.5523	600856.9897	520013.6354	575279.013
				Unknown	271.0394827				232.158			BiotreeDB									86842.98191	152885.5675	30165.11292	109475.1966	176363.7768	112540.1755	0	93205.07493	89482.20828	0	165820.5069	0	84541.71906	30838.04322	75316.24138	99512.52014	108537.8462	53625.65593	80663.41851
				Unknown	383.2041251				231.978			BiotreeDB									112143.589	57516.42708	33426.80986	148881.789	167563.3895	14249.74027	0	0	0	23838.76734	30935.48748	0	14658.3141	129423.6561	803017.5779	615586.6878	483276.2283	549462.4108	574732.6129
				Unknown	402.0294946				231.941			BiotreeDB									1153041.174	1315147.486	637237.4033	1055899.251	1484375.104	1015694.205	203994.8174	251937.3401	302159.9365	181548.4312	283943.9466	0	319810.299	259218.2569	1052993.227	770743.7274	781634.2469	693144.5859	767850.6289
				Unknown	139.1230882				231.9405			BiotreeDB									1735696.928	211618.5357	35299.44142	212604.2161	188895.5077	266072.8697	87325.02811	82383.5688	126057.3713	110126.0033	89317.91486	0	171588.0611	93876.24825	271912.4265	250937.7652	173697.6776	248025.1482	149128.2825
				Unknown	328.2483734				231.885			BiotreeDB									108935.3655	110908.917	87156.61561	65579.08501	116766.0513	127983.9293	19262.5372	183943.5562	87853.10417	32895.22877	150318.9199	0	146257.8958	132658.0966	52675.37147	126449.9298	85545.97287	115833.8367	97229.76035
				Unknown	309.2065498				231.478			BiotreeDB									384609.5372	273951.3722	413869.1511	443579.8736	452829.3521	447070.2925	268120.2484	526154.5928	292336.8142	468868.2998	394358.3818	364580.6646	463842.4798	399107.2295	669589.7103	417726.6108	434939.0629	259875.6911	539603.1028
				Unknown	75.10039546				231.068			BiotreeDB									70110.50584	100898.1298	16637.11036	151801.3649	116585.9937	153022.3258	33405.87008	58620.90842	75479.31508	65055.52295	72642.96665	0	68384.76392	70523.35187	58191.02205	88702.85308	99064.752	118873.8234	101897.9958
				Unknown	166.0512792				231.0245			BiotreeDB									132720.7148	238531.1675	43157.96028	160464.6259	222460.797	213660.3443	109168.5133	128065.1691	161796.9525	110297.69	135407.2464	0	159115.5557	59307.92879	287320.8234	90563.05324	123612.1883	153432.4396	64568.35254
				Unknown	377.146374				230.904			BiotreeDB									0	0	0	0	0	0	0	382017.6142	536606.8812	57708.43575	1271368.914	69148.08879	255178.7551	89410.66346	258711.5818	198499.5746	123007.317	116187.5161	117991.8396
				Unknown	218.0815044				230.4895			BiotreeDB									183492.5547	221225.9631	0	264719.9351	221088.1229	239960.5789	84713.97547	145877.8236	158367.5016	123955.3873	154638.9294	0	184328.0596	109996.6671	249057.0721	109281.6341	170798.0508	149444.0319	191808.0799
				Unknown	428.2186351				230.211			BiotreeDB									506193.3634	751420.9555	603457.4251	0	1320997.807	1123790.515	202200.0159	432052.2439	619558.7996	339174.313	793520.4978	0	752507.502	423576.7814	1108311.247	744288.4452	710319.691	696897.5888	701575.9985
				Unknown	144.1386572				230.141			BiotreeDB									568286.4301	871801.7876	142263.4473	774109.4139	898485.6333	841746.6421	314707.0749	488681.9026	523704.3877	435915.0469	477493.5894	117559.4496	656911.3314	435425.8753	670646.147	562768.5685	568401.21	499417.3865	533639.9507
				Unknown	247.1443534				230.135			BiotreeDB									134504.5435	191264.4027	12986.91161	185970.8402	200828.7355	157289.5547	20769.96081	52065.29357	137633.6448	104489.2247	125128.176	12253.2158	176198.3025	80321.30524	157502.0658	93367.66553	114990.933	90908.47927	121564.3523
				Unknown	310.2380801				230.135			BiotreeDB									606315.5943	799911.5807	200704.937	758605.7453	757029.0434	786149.5698	278143.206	413517.5698	448318.3007	413114.9007	365044.0397	60555.36382	579845.9939	352386.2063	798053.088	525112.4666	467777.0133	544112.9063	575084.9957
				Unknown	178.0725814				230.1205			BiotreeDB									112858.0123	140940.9123	18510.6659	143066.9239	142912.3178	103628.606	37171.92769	46742.35463	110210.4169	66812.41211	38638.1333	0	60114.95266	0	127619.6386	77125.51465	18111.64327	58212.89594	40841.71367
				Unknown	307.0444457				230.1			BiotreeDB									216699.4514	345648.5363	0	294325.5886	361250.2599	358735.5448	54949.77381	60158.13616	131994.1957	69704.9473	165003.5008	0	205409.1187	66231.52692	249182.5291	173440.9751	127646.3035	168336.5024	129223.1668
				Unknown	291.0702533				230.093			BiotreeDB									141375.0748	205108.7805	29628.45315	131474.2028	153755.7695	203083.5748	112917.2845	135233.8744	146718.1925	119819.6818	66180.13031	0	202835.8788	67353.75554	141404.8985	109540.3602	80964.24777	132344.5867	158999.8895
				Unknown	137.046134				230.073			BiotreeDB									418550.1046	656965.8293	148802.7764	618079.3617	534421.5561	620557.0106	311787.1815	386783.2699	422955.164	356887.5434	418239.2372	94347.50555	487231.307	319962.1373	725964.72	409531.5277	444145.4705	445786.5426	453240.4547
				Unknown	257.1746814				230.0685			BiotreeDB									151128.8452	231320.1993	19327.76845	225704.3841	153345.2211	175678.5117	83685.56193	109689.3754	102858.3729	73836.81736	110279.0013	24571.08073	186621.1074	71860.3469	83736.36544	144258.1954	118478.3977	131225.4569	120803.8605
				Unknown	269.0880688				230.016			BiotreeDB									6844454.351	8688468.422	2348161.822	8929822.11	8700331.609	8937848.655	3932671.185	5230238.033	5897037.837	4639797.245	5444430.429	1282441.55	6740902.894	4886501.472	9587264.624	5834831.059	5887133.736	6192312.977	5831716.895
