database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	YK.RM.1	YK.RM.2	YK.RM.3	YK.RM.4	YK.RM.5	YK.RM.6	YK.RM.7	YK.RM.15	YK.RM.16	YK.RM.17	YK.RM.18	YK.RM.19	YK.RM.20	YK.RM.21	QC1	QC2	QC3	QC4	QC5
				(±)-erythro-Isoleucine	132.102079				253.01			BiotreeDB									2101173.874	1697518.847	831573.2548	1872495.839	2563092.767	3448198.816	247148.8434	2007295.657	1860993.259	1132955.192	1815049.057	27620.5992	3808799.912	1302471.88	1506906.829	1280608.693	1336500.257	1232747.477	1272710.338
				gamma-Aminobutyric acid	104.071064				389.61			BiotreeDB									81809335.6	44824965.19	69401928.77	52696450.75	80205277.89	79727977.39	29441117.05	222305.0965	184858.2545	195649.176	244237.3569	0	389503.9201	402894.3111	28291830.64	25937968.02	24335866.17	24631415.2	25072777.41
				Adenosine	268.104526				178.6185			BiotreeDB									8042060.829	6004434.783	7119481.883	6913611.26	5971436.935	5960894.094	3122532.832	592943.694	409642.598	310206.5501	423998.8643	179972.8425	548654.9109	338409.6261	5643113.763	5182754.741	4553670.043	4457416.806	4240788.735
				Sphinganine	302.3054783				56.6778			BiotreeDB									11492177.84	5640497.547	13363605.23	16875281.36	8985050.885	6784421.587	7381162.877	15012864.61	9351869.148	13837285.05	12791407.68	5294723.332	6911854.399	132090027	36201541.22	31054249.67	29719161.43	30208684.87	29890235.23
				3-Formyl-6-hydroxyindole	162.0552442				60.15885			BiotreeDB									9042029.562	8318767.151	18046862.92	8239427.191	68352524.15	15698868.31	2760561.827	19250643.68	19455826.64	35537266.12	33321143.87	571848.5043	21914825.23	40971122.71	31241315.44	22650994.91	22415256.94	21842414.35	22249062.49
				Beta-Carboline	169.0759783				45.9396			BiotreeDB									4442259.879	5152030.644	6373102.58	3910095.993	7712951.783	3449865.664	3878300.224	2781083.279	3043172.794	2756921.604	3171752.114	1918917.652	3068473.236	3839563.075	3458734.841	6026415.397	8665394.585	4135948.666	3741258.3
				5-(2-Hydroxyethyl)-4-methylthiazole	144.0479681				37.91195			BiotreeDB									86387033.56	14325185.58	81250825.09	24889578.07	31431910.19	33130391.94	50077280.01	20682261.34	21076785.56	51304666.71	33713946.8	33835410.95	21235851.8	24416549.67	54730766.34	33063712.23	33291492.9	32281971.33	31917267.25
				Sinapoylputrescine	295.1650897				422.358			BiotreeDB									111846560.8	190028345.9	193439762.7	213956218.9	159218609.2	116785485.9	14071117.19	81758548.66	59652288.79	21890420.5	120841612.7	12351663.34	162666779.3	63350936.8	104382655.3	93307042.05	82851093.89	96933104.19	88839003.64
				2-Piperidinone	100.0760778				52.31695			BiotreeDB									2642305.705	2729271.846	12372526.97	2059057.746	1770794.616	15476521.07	2446756.36	1590385.282	3721133.119	2271959.559	6873941.902	1458133.001	1800910.447	3016686.745	3458642.2	3072193.434	2955961.167	2579450.777	2672392.462
				Cyclohexylamine	100.1126567				239.005			BiotreeDB									1755973.637	5217084.565	20281479.91	320238.0943	3927612.288	553706.68	13168746.5	2827231.905	7641777.05	3862827.843	7102105.469	1498526.416	4682556.246	10517456.29	10130619.66	7849025.517	7531349.476	7131669.576	7363173.693
				N-Carboxyethyl-g-aminobutyric acid	176.0918951				405.152			BiotreeDB									3434492.083	9346887.591	3367704.744	10755231.74	5485820.39	4964361.075	1521533.965	5299106.318	2599319.371	2066481.772	4636426.29	1917751.396	4542761.615	3465704.881	7064101.703	3738652.404	3251103.468	3256310.655	3051891.058
				4-Amino-2-methylenebutanoic acid	116.0822187				368.056			BiotreeDB									1177950.592	1737452.634	1797770.291	982986.2519	2200029.059	2109812.452	770829.6486	166698.0318	116134.722	120702.2972	160240.9476	30686.87298	194068.5331	109710.4233	1059790.687	1051793.58	1024799.321	1068607.319	979829.9419
				L-Acetylcarnitine	204.1232988				323.0975			BiotreeDB									19213241.7	17561443.59	18092863.35	10403547.18	22748192.54	16857063.39	13543801.26	14215507.32	11117345.66	15848452.46	15832659.55	3996680.128	9148328.738	17677147.51	21866477.35	18100423.94	15786948.51	16242684.76	16261810.55
				L-alpha-Aminobutyric acid	104.0710634				316.819			BiotreeDB									79064483.55	1454688.489	3080799.933	3499457.743	3298560.608	2945296.657	3088726.239	2931826.434	1150274.484	3813143.772	869278.1196	3746359.783	2612164.593	968955.8686	7476412.101	7574028.075	8076921.822	7528663.835	7136350.027
				"3beta,6beta-Dihydroxynortropane"	144.1019757				320.3835			BiotreeDB									1012557.009	976183.8009	1677593.149	655000.8182	2402349.839	937797.5131	1714305.754	744255.8912	707249.3515	654414.9211	1037156.503	365792.4998	750054.906	3561326.04	2640583.416	2223794.299	3049816.28	2722533.153	2575893.041
